,block2_ir,block3_ir,block6_ir,group
0,0.9568076067165681,1.048136330264867,1.032090510025668,1
1,1.1439761283103307,1.2435317039626372,0.9234178287133749,1
2,1.020973467300402,1.0327062141806935,1.0308890863117606,1
3,1.1311998975072286,1.0990750961062685,0.9050656660412755,1
4,1.018785528277262,0.9852520772662903,0.9501228501228497,1
5,0.9863326667286766,0.8671190893169881,0.80151811658661,1
6,0.9922992299229939,0.9948949666543571,0.9926742041906783,1
7,0.8990467563837131,1.1430834593504728,1.0146525258163543,1
8,1.054261499920047,1.038639263636477,1.0233083001517669,1
9,0.9637058494194392,1.0290220200896514,0.8623646945769043,1
0,0.9770455353156126,0.8914578870910755,0.9474993113158456,2
1,0.9455973840469358,0.9354876386996306,1.1639661713563072,2
2,0.9236730426225468,0.8964565434910117,0.9437902063486479,2
3,1.0044835711480558,0.9637054719911001,1.0060573783418343,2
4,1.215510041757804,0.3970348406226835,1.1429384358217447,2
5,1.053816584294344,0.8818176064806024,2.735419464066786,2
6,1.0438930998226703,0.9712504210840257,1.0581209682570096,2
